type	latitude	longitude	
W	51.5385147	-0.0833845	
W	51.5383813	-0.0835562	
W	51.5381944	-0.0837278	
W	51.5380876	-0.0838566	
W	51.5377940	-0.0842857	
W	51.5377406	-0.0844574	
W	51.5375271	-0.0846720	
W	51.5373402	-0.0851440	
W	51.5371000	-0.0854015	
W	51.5369131	-0.0855732	
W	51.5367263	-0.0858736	
W	51.5366462	-0.0859594	
W	51.5365661	-0.0861740	
W	51.5364326	-0.0862598	
W	51.5362725	-0.0863886	
W	51.5354449	-0.0864315	
W	51.5352314	-0.0864315	
W	51.5351246	-0.0861740	
W	51.5349911	-0.0858736	
W	51.5348843	-0.0857878	
W	51.5346708	-0.0856161	
W	51.5345907	-0.0852728	
W	51.5344839	-0.0851440	
W	51.5343504	-0.0849724	
W	51.5342170	-0.0847149	
W	51.5340835	-0.0846720	
W	51.5337097	-0.0843716	
W	51.5336030	-0.0842428	
W	51.5333894	-0.0841141	
W	51.5333093	-0.0838995	
W	51.5330424	-0.0838137	
W	51.5328822	-0.0835562	
W	51.5328555	-0.0834703	
W	51.5326419	-0.0832987	
W	51.5324817	-0.0831699	
W	51.5323483	-0.0829554	
W	51.5322949	-0.0827837	
W	51.5320012	-0.0826120	
W	51.5317876	-0.0824833	
W	51.5316274	-0.0819254	
W	51.5314139	-0.0817108	
W	51.5313605	-0.0815392	
W	51.5311736	-0.0813675	
W	51.5308532	-0.0809813	
W	51.5307464	-0.0805521	
W	51.5386482	-0.0766039	
W	51.5397426	-0.0803375	
W	51.5396625	-0.0798655	
W	51.5395824	-0.0795221	
W	51.5393422	-0.0784492	
W	51.5396091	-0.0789213	
W	51.5395290	-0.0791788	
W	51.5392087	-0.0782776	
W	51.5392354	-0.0779343	
W	51.5389952	-0.0776768	
W	51.5389685	-0.0774193	
W	51.5389418	-0.0772047	
W	51.5388617	-0.0770330	
W	51.5386215	-0.0764322	
W	51.5384613	-0.0762177	
W	51.5383012	-0.0760031	
W	51.5381944	-0.0758314	
W	51.5379809	-0.0753164	
W	51.5377406	-0.0751448	
W	51.5377139	-0.0748444	
W	51.5375805	-0.0745869	
W	51.5373402	-0.0745010	
W	51.5369665	-0.0741577	
W	51.5368864	-0.0742006	
W	51.5366729	-0.0739002	
W	51.5330957	-0.0765610	
W	51.5359254	-0.0738144	
W	51.5356051	-0.0739431	
W	51.5354716	-0.0739431	
W	51.5353382	-0.0739861	
W	51.5351246	-0.0741577	
W	51.5348576	-0.0743294	
W	51.5347509	-0.0743723	
W	51.5346708	-0.0745440	
W	51.5345640	-0.0746298	
W	51.5344839	-0.0747585	
W	51.5342971	-0.0747585	
W	51.5342704	-0.0749731	
W	51.5341102	-0.0751877	
W	51.5341102	-0.0753164	
W	51.5339233	-0.0755310	
W	51.5335229	-0.0760460	
W	51.5334695	-0.0761747	
W	51.5333627	-0.0762177	
W	51.5328288	-0.0768185	
W	51.5327754	-0.0768185	
W	51.5327487	-0.0770760	
W	51.5326686	-0.0770330	
W	51.5325084	-0.0771403	
W	51.5324283	-0.0772476	
W	51.5321881	-0.0773764	
W	51.5320279	-0.0774622	
W	51.5318143	-0.0776768	
W	51.5316007	-0.0778484	
W	51.5312003	-0.0781918	
W	51.5311068	-0.0782990	
W	51.5310401	-0.0784922	
W	51.5308532	-0.0785351	
W	51.5308532	-0.0788355	
W	51.5307464	-0.0789213	
W	51.5306663	-0.0790071	
W	51.5306129	-0.0792217	
W	51.5305862	-0.0794363	
W	51.5305329	-0.0795650	
W	51.5408903	-0.0699949	
W	51.5406768	-0.0699949	
W	51.5405433	-0.0700378	
W	51.5404099	-0.0700378	
W	51.5403031	-0.0701237	
W	51.5402230	-0.0700378	
W	51.5401430	-0.0701237	
W	51.5400629	-0.0701237	
W	51.5399294	-0.0701237	
W	51.5398226	-0.0701237	
W	51.5397159	-0.0701237	
W	51.5396091	-0.0701237	
W	51.5395023	-0.0701237	
W	51.5395023	-0.0701237	
W	51.5393956	-0.0702095	
W	51.5394089	-0.0701022	
W	51.5393822	-0.0701451	
W	51.5393288	-0.0701022	
W	51.5392621	-0.0701451	
W	51.5391954	-0.0702095	
W	51.5391820	-0.0701666	
W	51.5391286	-0.0701880	
W	51.5390753	-0.0701880	
W	51.5390352	-0.0701880	
W	51.5389418	-0.0702095	
W	51.5386749	-0.0702095	
W	51.5383012	-0.0702095	
W	51.5380609	-0.0702953	
W	51.5376605	-0.0703382	
W	51.5360322	-0.0701666	
W	51.5352314	-0.0701237	
W	51.5349377	-0.0701237	
W	51.5347242	-0.0700808	
W	51.5345106	-0.0700808	
W	51.5342170	-0.0700378	
W	51.5338432	-0.0699091	
W	51.5333360	-0.0699091	
W	51.5328555	-0.0698233	
W	51.5321347	-0.0696087	
W	51.5317342	-0.0697374	
W	51.5314673	-0.0696945	
W	51.5373936	-0.0702095	
W	51.5372334	-0.0703382	
W	51.5369398	-0.0702953	
W	51.5366462	-0.0702095	
W	51.5358720	-0.0702095	
W	51.5327487	-0.0696945	
W	51.5414775	-0.0602531	
W	51.5413174	-0.0603819	
W	51.5407302	-0.0601244	
W	51.5401430	-0.0601673	
W	51.5398493	-0.0601673	
W	51.5395824	-0.0600815	
W	51.5393689	-0.0602102	
W	51.5389685	-0.0600815	
W	51.5386215	-0.0601244	
W	51.5380876	-0.0600815	
W	51.5377406	-0.0600386	
W	51.5376872	-0.0600815	
W	51.5373936	-0.0599527	
W	51.5367530	-0.0599098	
W	51.5366462	-0.0702953	
W	51.5365661	-0.0597811	
W	51.5363258	-0.0598240	
W	51.5361123	-0.0597811	
W	51.5358720	-0.0596952	
W	51.5355250	-0.0596952	
W	51.5353115	-0.0596523	
W	51.5351246	-0.0596094	
W	51.5348043	-0.0596094	
W	51.5345373	-0.0596094	
W	51.5343504	-0.0596094	
W	51.5340034	-0.0594378	
W	51.5337898	-0.0593948	
W	51.5336030	-0.0593948	
W	51.5334695	-0.0593948	
W	51.5331491	-0.0592661	
W	51.5329623	-0.0592232	
W	51.5326419	-0.0591373	
W	51.5325084	-0.0590944	
W	51.5411839	-0.0696516	
W	51.5408369	-0.0694370	
W	51.5407035	-0.0691795	
W	51.5404099	-0.0690079	
W	51.5401696	-0.0687933	
W	51.5399294	-0.0686216	
W	51.5395290	-0.0681496	
W	51.5399027	-0.0684929	
W	51.5393956	-0.0679779	
W	51.5392087	-0.0678492	
W	51.5389418	-0.0674200	
W	51.5388884	-0.0672913	
W	51.5386482	-0.0670338	
W	51.5385147	-0.0666046	
W	51.5382745	-0.0665617	
W	51.5380609	-0.0660467	
W	51.5378741	-0.0659180	
W	51.5377139	-0.0657034	
W	51.5374737	-0.0654888	
W	51.5372601	-0.0650167	
W	51.5370199	-0.0647593	
W	51.5368597	-0.0644588	
W	51.5365928	-0.0642872	
W	51.5364059	-0.0639439	
W	51.5361924	-0.0636435	
W	51.5360055	-0.0634718	
W	51.5357653	-0.0632143	
W	51.5356318	-0.0628710	
W	51.5354716	-0.0624418	
W	51.5351513	-0.0622272	
W	51.5348843	-0.0620985	
W	51.5346975	-0.0619268	
W	51.5343771	-0.0616693	
W	51.5342170	-0.0614119	
W	51.5337631	-0.0608969	
W	51.5336297	-0.0605965	
W	51.5332292	-0.0601673	
W	51.5331224	-0.0598240	
W	51.5328288	-0.0596094	

